UniqueID,DateOfBite,Breed,Age,Gender,SpayNeuter,Borough,ZipCode
1,2015-01-02,"Poodle, Standard",3,M,TRUE,Brooklyn,11238
2,2015-01-02,HUSKY,NA,U,FALSE,Brooklyn,11249
3,2015-01-01,American Pit Bull Terrier/Pit Bull,6,M,FALSE,Brooklyn,11221
4,2015-01-03,American Pit Bull Terrier/Pit Bull,1,M,FALSE,Brooklyn,11207
5,2015-01-05,American Pit Bull Terrier/Pit Bull,1,F,FALSE,Brooklyn,11209
6,2015-01-04,MORKIE,1,M,FALSE,Brooklyn,11220
7,2015-01-05,Chihuahua,1,M,FALSE,Brooklyn,11237
8,2015-01-04,PIT BULL MIXED,NA,M,FALSE,Brooklyn,11215
9,2015-01-04,NA,NA,U,FALSE,Brooklyn,11221
10,2015-01-02,Cocker Spaniel Crossbreed,NA,U,FALSE,Brooklyn,11220
11,2015-01-05,Shih Tzu,4,F,FALSE,Brooklyn,11205
12,2015-01-01,American Pit Bull Terrier/Pit Bull,NA,U,FALSE,Brooklyn,11220
13,2015-01-05,Shih Tzu,3,M,TRUE,Brooklyn,11224
14,2015-01-09,Pit Bull,2,M,TRUE,Brooklyn,11213
15,2015-01-10,Yorkshire Terrier,1,F,FALSE,Brooklyn,11237
16,2015-01-13,Dachshund Smooth Coat,12,M,TRUE,Brooklyn,11217
17,2015-01-12,American Pit Bull Terrier/Pit Bull,NA,U,FALSE,Brooklyn,11208
18,2015-01-16,American Pit Bull Mix / Pit Bull Mix,2,M,FALSE,Brooklyn,11235
19,2015-01-12,Shih Tzu,2,M,FALSE,Brooklyn,11207
20,2015-01-17,Chihuahua,7M,M,FALSE,Brooklyn,11213
21,2015-01-21,Yorkshire Terrier,8M,M,FALSE,Brooklyn,11206
22,2015-01-22,Labrador Retriever,5,M,TRUE,Brooklyn,11229
23,2015-01-24,"Jindo Dog,",NA,U,FALSE,Brooklyn,11226
24,2015-01-27,Jack Russ,11,M,FALSE,Brooklyn,11217
25,2015-01-25,Chow Chow,NA,U,FALSE,Brooklyn,11209
26,2015-01-25,Chihuahua,1,F,FALSE,Brooklyn,11213
27,2015-01-20,PIT BULL/GOLDEN RETRIVE X,NA,U,FALSE,Brooklyn,11236
28,2015-01-31,German Shepherd Crossbreed,NA,F,FALSE,Brooklyn,11220
29,2015-01-23,German Shepherd,4,M,FALSE,Brooklyn,11229
30,2015-02-04,Pomeranian,1,F,FALSE,Brooklyn,11216
31,2015-02-05,Dalmatian,10,M,TRUE,Brooklyn,11214
32,2015-02-01,Rottweiler,NA,U,FALSE,Brooklyn,11204
33,2015-02-04,Rottweiler,NA,U,FALSE,Brooklyn,11220
34,2015-02-06,Shiba Inu,3,M,FALSE,Brooklyn,11252
35,2015-02-07,Maltese,NA,U,FALSE,Brooklyn,11215
36,2015-02-07,Pit Bull,5,M,TRUE,Brooklyn,11214
37,2015-01-27,NA,NA,U,FALSE,Brooklyn,11205
38,2015-01-27,"Poodle, Standard",NA,U,FALSE,Brooklyn,11214
39,2015-02-10,"Welsh Corgi, Pembroke",NA,U,FALSE,Brooklyn,11204
40,2015-02-07,Shiba Inu,NA,M,FALSE,Brooklyn,11206
41,2015-02-07,RAT TERRIER,5,M,TRUE,Brooklyn,11208
42,2015-01-27,American Pit Bull Terrier/Pit Bull,2,M,FALSE,Brooklyn,11228
43,2015-02-11,Staffordshire Bull Terrier,4,M,FALSE,Brooklyn,11235
44,2015-02-11,RAT TERRIER,13,F,TRUE,Brooklyn,11209
45,2015-02-09,American Pit Bull Terrier/Pit Bull,10,F,TRUE,Brooklyn,11232
46,2015-02-12,German Shepherd,4,M,FALSE,Brooklyn,11229
47,2015-02-12,Pit Bull,NA,U,FALSE,Brooklyn,11237
48,2015-02-14,Akita,NA,M,FALSE,Brooklyn,11237
49,2015-02-14,NA,NA,U,FALSE,Brooklyn,11205
50,2015-02-15,BULL DOG X,NA,M,FALSE,Brooklyn,11234
51,2015-02-15,Pit Bull,NA,U,FALSE,Brooklyn,11234
52,2015-02-13,American Pit Bull Terrier/Pit Bull,4,M,TRUE,Brooklyn,11221
53,2015-02-17,Chihuahua,NA,U,FALSE,Brooklyn,11218
54,2015-02-15,American Pit Bull Mix / Pit Bull Mix,1,M,FALSE,Brooklyn,11207
55,2015-02-12,"Mastiff, Old English",NA,U,FALSE,Brooklyn,11231
56,2015-02-18,Yorkshire Terrier,3,M,FALSE,Brooklyn,11233
57,2015-02-17,American Pit Bull Terrier/Pit Bull,5,M,FALSE,Brooklyn,11207
58,2015-02-19,SPRINGER SPANIEL,7,U,TRUE,Brooklyn,11213
59,2015-02-21,Pit Bull,NA,U,FALSE,Brooklyn,11217
60,2015-02-12,Pit Bull,NA,U,FALSE,Brooklyn,11224
61,2015-02-22,Pit Bull,10,M,TRUE,Brooklyn,11235
62,2015-02-24,Pit Bull,1,F,FALSE,Brooklyn,11215
63,2015-02-24,Pit Bull,10,F,TRUE,Brooklyn,11210
64,2015-02-24,WESTIE,NA,U,FALSE,Brooklyn,11234
65,2015-02-21,Pit Bull,NA,U,FALSE,Brooklyn,11231
66,2015-02-26,Pit Bull,NA,U,FALSE,Brooklyn,11206
67,2015-02-22,FOX HOUND,3,F,TRUE,Brooklyn,11209
68,2015-02-26,Pit Bull,1,M,FALSE,Brooklyn,11226
69,2015-02-28,Weimaraner,11,M,TRUE,Brooklyn,11230
70,2015-02-26,German Shepherd,NA,U,FALSE,Brooklyn,11220
71,2015-02-01,Rottweiler,NA,U,FALSE,Brooklyn,11215
72,2015-03-01,American Pit Bull Mix / Pit Bull Mix,6,F,TRUE,Brooklyn,11225
73,2015-02-28,American Pit Bull Mix / Pit Bull Mix,2,M,FALSE,Brooklyn,11228
74,2015-02-10,American Pit Bull Terrier/Pit Bull,NA,U,FALSE,Brooklyn,11221
75,2015-03-03,NA,NA,U,FALSE,Brooklyn,11235
76,2015-03-04,"Jindo Dog,",NA,M,TRUE,Brooklyn,11215
77,2015-03-06,American Pit Bull Mix / Pit Bull Mix,10,F,FALSE,Brooklyn,11206
78,2015-03-07,"Bull Dog, English",2,M,TRUE,Brooklyn,11201
79,2015-02-27,American Pit Bull Terrier/Pit Bull,3,M,FALSE,Brooklyn,11206
80,2015-03-07,BULLDOG/SHARPEI,11,M,TRUE,Brooklyn,11233
81,2015-03-08,Shih Tzu,4,M,FALSE,Brooklyn,11234
82,2015-03-10,COCKER/CORGI X,NA,M,FALSE,Brooklyn,11201
83,2015-03-12,Jack Russ,7M,M,FALSE,Brooklyn,11208
84,2015-03-12,Shih Tzu,NA,U,FALSE,Brooklyn,11217
85,2015-02-26,Pit Bull,2,M,FALSE,Brooklyn,11216
86,2015-03-13,Pug,6,M,TRUE,Brooklyn,11231
87,2015-03-15,Yorkshire Terrier,4,M,FALSE,Brooklyn,11205
88,2015-03-14,Chow Chow,3,M,FALSE,Brooklyn,11234
89,2015-03-15,American Staffordshire Terrier,8,M,TRUE,Brooklyn,11230
90,2015-03-14,SHEPHERD MIX,5,M,TRUE,Brooklyn,11229
91,2015-03-16,Maltese,7,M,TRUE,Brooklyn,11221
92,2015-03-18,American Pit Bull Terrier/Pit Bull,5,M,TRUE,Brooklyn,11207
93,2015-03-16,Yorkshire Terrier,1,M,FALSE,Brooklyn,11221
94,2015-03-14,Cocker Spaniel,NA,U,FALSE,Brooklyn,11213
95,2015-03-16,American Pit Bull Mix / Pit Bull Mix,2,M,TRUE,Brooklyn,11234
96,2015-03-16,Pit Bull,NA,F,TRUE,Brooklyn,11223
97,2015-03-09,Miniature Pinscher,NA,M,FALSE,Brooklyn,11235
98,2015-03-22,Shih Tzu,2,M,FALSE,Brooklyn,11223
99,2015-03-21,Doberman Pinscher,8,F,FALSE,Brooklyn,11204
100,2015-03-22,Shih Tzu,7,M,TRUE,Brooklyn,11208
101,2015-03-22,German Shepherd,NA,U,FALSE,Brooklyn,11217
102,2015-03-21,"Bull Dog, French",6,M,TRUE,Brooklyn,11217
103,2015-02-02,Pekingese,4,M,FALSE,Brooklyn,11238
104,2015-03-15,Chihuahua,6,M,FALSE,Brooklyn,11221
105,2015-03-25,TERRIER,5,M,FALSE,Brooklyn,11027
106,2015-03-29,Pit Bull,1,M,FALSE,Brooklyn,11224
107,2015-03-20,HARRIER/BEAGLE,10 M,M,TRUE,Brooklyn,11235
108,2015-03-27,TERRIER,NA,U,FALSE,Brooklyn,11215
109,2015-03-28,"Dachshund, Long Haired Miniature",4,M,TRUE,Brooklyn,11234
110,2015-03-29,American Pit Bull Terrier/Pit Bull,NA,U,FALSE,Brooklyn,11217
111,2015-03-24,BOXER X W/ PIT BULL,8,M,TRUE,Brooklyn,11231
112,2015-04-03,Yorkshire Terrier,6,M,TRUE,Brooklyn,11233
113,2015-04-06,Bull dog,8M,M,FALSE,Brooklyn,11213
114,2015-04-06,American Staffordshire Terrier,NA,U,FALSE,Brooklyn,11224
115,2015-04-06,American Pit Bull Terrier/Pit Bull,4,F,TRUE,Brooklyn,11212
116,2015-03-27,BOXER/RHODESIAN RIDGEBACK X,5,F,FALSE,Brooklyn,11214
117,2015-04-06,Chihuahua Crossbreed,4M,M,FALSE,Brooklyn,11205
118,2015-04-06,"Poodle, Standard",2,M,FALSE,Brooklyn,11213
119,2015-04-07,American Pit Bull Terrier/Pit Bull,NA,U,FALSE,Brooklyn,11231
120,2015-04-01,Bull Terrier,1,M,FALSE,Brooklyn,11201
121,2015-04-08,CATAHOULA LEOPARD DOG,1,M,TRUE,Brooklyn,11235
122,2015-04-08,NA,NA,U,FALSE,Brooklyn,11214
123,2015-04-06,Yorkshire Terrier,6,F,FALSE,Brooklyn,11219
124,2015-04-10,Cocker Spaniel Crossbreed,5,M,TRUE,Brooklyn,11206
125,2015-04-03,BOXER/HOUND/PITBULL,6,F,TRUE,Brooklyn,11216
126,2015-04-12,German Shepherd,11,F,TRUE,Brooklyn,11209
127,2015-04-10,"Bull Dog, English",9M,M,FALSE,Brooklyn,11220
128,2015-04-10,American Pit Bull Terrier/Pit Bull,6M,M,FALSE,Brooklyn,11224
129,2015-04-12,Chihuahua,9,F,TRUE,Brooklyn,11224
130,2015-04-10,NA,NA,U,FALSE,Brooklyn,11208
131,2015-04-13,Pit Bull,9,M,FALSE,Brooklyn,11207
132,2015-04-13,Chihuahua,9M,M,FALSE,Brooklyn,11208
