id,Name,Phone,Location,Latitude,Longitude
0,Riverside Animal Hospital North,212-865-2224,"250 W 108th St, New York, NY 10025",40.80257,-73.967015
1,The Animal Medical Center,212-838-8100,"510 E 62nd St, New York, NY 10065",40.760157,-73.957984
2,Harlem Animal Hospital,212-933-0955,"193 Malcolm X Blvd, New York, NY 10026",40.804495,-73.948286
3,ASPCA Animal Hospital,646-259-4080,"424 E 92nd St, New York, NY 10128",40.780098,-73.945571
4,BluePearl Pet Hospital,212-767-0099,"410 W 55th St, New York, NY 10019",40.767014,-73.987607
5,University Animal Hospital,212-288-8884,"354 E 66th St, New York, NY 10065",40.764008,-73.959251
6,Uptown Veterinary Associates,212-222-1221,"295 W 112th St, New York, NY 10026",40.801783,-73.956795
7,Riverside Animal Hospital South,212-787-1993,"219 W 79th St, New York, NY 10024",40.783774,-73.979074
8,Hudson Animal Hospital,212-706-4088,"238 W 61st St, New York, NY 10023",40.772329,-73.98864
9,Lincoln Square Veterinary Hospital,212-712-9600,"140 W 67th St, New York, NY 10023",40.775096,-73.983581
10,Manhattan Veterinary Group,212-988-1000,"240 E 80th St, New York, NY 10075",40.774136,-73.95525
11,Bruce Lowenstein DVM - Veterinary House Calls,(212) 769-3900,"105 W 86th St #121, New York, NY 10024",40.787229,-73.972833
12,Bond Vet - Cobble Hill,(718) 673-6763,"217 Court St, Brooklyn, NY 11201",40.686734,-73.993468
13,Clinton Veterinary Center,(212) 333-5548,"357 W 52nd St, New York, NY 10019",40.764578,-73.987031
14,Water4Dogs,(646) 214-8186,"77 Worth St, New York, NY 10013",40.71719,-74.005435
15,NYC Department of Veterans' Services,(212) 416-5250,"1 Centre St, New York, NY 10007",40.71316,-74.003636
16,New York Veterinary Practice,(212) 401-3025,"41 W 13th St, New York, NY 10011",40.736562,-73.995971
17,Grand Concourse Animal Hospital,(718) 933-1002,"2460 Webster Ave, The Bronx, NY 10458",40.860121,-73.892696
18,Bideawee,(866) 262-8133,"410 E 38th St, New York, NY 10016",40.745971,-73.970671
