,Prop_ID,Name,Address,DogRuns_Type,Accessible,Notes
0,X002,Bronx Park Off-Leash Area,Unionport & Sagamore on Bronx Park East to 233rd Street,Off-Leash,N,
1,X008,Claremont Park Off-Leash Area,,Off-Leash,N,
2,X010,Crotona Park Off-Leash Area,"Except for playgrounds and other areas where dogs are expressly prohibited via signage, all areas of the park are off-leash during designated hours.",Off-Leash,N,
3,X013,Devoe Park Off-Leash Area,192nd & Jerome Avenue,Off-Leash,N,
4,X019,Ewen Park Dog Run,"Riverdale to Johnson avenues, south of West 232nd Street",Run,N,
5,X110A,Frank S. Hackett Park Dog Run,Riverdale Avenue at Henry Hudson Parkway,Run,N,
6,X047,Franz Sigel Park Dog Run,"Center of the park, just north of the ballfields which would line up with around 155th Street.",Run,N,
7,X080,Henry Hudson Park Off-Leash Area,Kappock Street and Independence Avenue,Off-Leash,N,
8,X010,Hylan Park Off-Leash Area,"Except for playgrounds and other areas where dogs are expressly prohibited via signage, all areas of the park are off-leash during designated hours.",Off-Leash,N,
9,X015,Joseph Rodham Drake Park Off-Leash Area,,Off-Leash,N,
10,X034,Mullaly Park Off-Leash Area,,Off-Leash,N,
11,X039,Pelham Bay Park Off-Leash Area,"Middletown Road & Stadium Avenue, northwest of parking lot.",Off-Leash,N,"The dog run at Pelham Bay Park is close to Watt Avenue and Middletown Road.  Both streets merge at the entrance to the parking lot on Middletown Road. The dog run is about 100 yards east of that point.<br><a href=""http://nycgovparks.org/parks/X039/map/pelhambay_dogonleasharea.pdf"">Please download our map of permitted on-leash dog areas.</a>"
12,X017,Richman (Echo) Park Off-Leash Area,,Off-Leash,N,
13,X142,Riverdale Park Off-Leash Area,Palisade Avenue from West 232 Street to West 254 Street,Off-Leash,N,
14,X201,Seton Park Dog Run,West 232nd Street & Independence Avenue,Run,N,
15,X150G,Siren Slope Park Off-Leash Area,Bailey Avenue and West 230 Street,Off-Leash,N,
16,X091,Spuyten Duyvil Park Off-Leash Area,Palisade Avenue and Independence Avenue,Off-Leash,N,
17,X044,St. James Park Off-Leash Area,92nd & Jerome Avenue,Off-Leash,N,"St. James closes at 9:00 p.m. and opens at 7:00 a.m. Therefore, the off-leash policy only applies between 7:00 a.m. and 9:00 a.m."
18,X010A,Tremont Park Off-Leash Area,"Except for playgrounds and other areas where dogs are expressly prohibited via signage, all areas of the park are off-leash during designated hours.",Off-Leash,N,
19,X051,University Woods Park Off-Leash Area,,Off-Leash,N,
20,X092,Van Cortlandt Park Dog Run,Broadway and 252 Street,Run,N,
21,X259,Wallenberg Forest Park Off-Leash Area,"Palisade Avenue, Douglas Avenue, West 235 Street",Off-Leash,N,
