UniqueID,DateOfBite,Breed,Age,Gender,SpayNeuter,Borough,ZipCode
1,1/2/2015,POODLE,3,M,TRUE,Brooklyn,11238
2,1/2/2015,HUSKY,NA,U,FALSE,Brooklyn,11249
3,1/1/2015,AMERICAN PIT BULL,6,M,FALSE,Brooklyn,11221
4,1/3/2015,AMERICAN PIT BULL,1,M,FALSE,Brooklyn,11207
5,1/5/2015,AMERICAN PIT BULL,1,F,FALSE,Brooklyn,11209
6,1/4/2015,MORKIE,1,M,FALSE,Brooklyn,11220
7,1/5/2015,CHIHUAHUA,1,M,FALSE,Brooklyn,11237
8,1/4/2015,PIT BULL,NA,M,FALSE,Brooklyn,11215
9,1/4/2015,OTHER,NA,U,FALSE,Brooklyn,11221
10,1/2/2015,COCKER SPANIEL,NA,U,FALSE,Brooklyn,11220
11,1/5/2015,SHIH TZU,4,F,FALSE,Brooklyn,11205
12,1/1/2015,AMERICAN PIT BULL,NA,U,FALSE,Brooklyn,11220
13,1/5/2015,SHIH TZU,3,M,TRUE,Brooklyn,11224
14,1/9/2015,PIT BULL,2,M,TRUE,Brooklyn,11213
15,1/10/2015,YORKSHIRE TERRIER,1,F,FALSE,Brooklyn,11237
16,1/13/2015,DACHSHUND,12,M,TRUE,Brooklyn,11217
17,1/12/2015,AMERICAN PIT BULL,NA,U,FALSE,Brooklyn,11208
18,1/16/2015,AMERICAN PIT BULL,2,M,FALSE,Brooklyn,11235
19,1/12/2015,SHIH TZU,2,M,FALSE,Brooklyn,11207
20,1/17/2015,CHIHUAHUA,0.6,M,FALSE,Brooklyn,11213
21,1/21/2015,YORKSHIRE TERRIER,0.7,M,FALSE,Brooklyn,11206
22,1/22/2015,LABRADOR,5,M,TRUE,Brooklyn,11229
23,1/24/2015,JINDO,NA,U,FALSE,Brooklyn,11226
24,1/27/2015,JACK RUSS,11,M,FALSE,Brooklyn,11217
25,1/25/2015,CHOW CHOW,NA,U,FALSE,Brooklyn,11209
26,1/25/2015,CHIHUAHUA,1,F,FALSE,Brooklyn,11213
27,1/20/2015,PIT BULL,NA,U,FALSE,Brooklyn,11236
28,1/31/2015,GERMAN SHEPHERD,NA,F,FALSE,Brooklyn,11220
29,1/23/2015,GERMAN SHEPHERD,4,M,FALSE,Brooklyn,11229
