AnimalGender,Borough,LicenseIssuedDate,LicenseExpiredDate,Latitude,Longitude
M,Bronx,03/09/2015,03/09/2016,40.819729,-73.9223
M,Manhattan,04/06/2015,04/06/2016,40.76842,-73.96045
F,Staten Island,04/10/2015,03/30/2016,40.599021,-74.07503
F,Manhattan,05/01/2015,03/18/2016,40.732509,-73.98935
M,Manhattan,08/13/2015,08/30/2016,40.752159,-73.97231
M,Manhattan,09/04/2015,09/27/2016,40.727093,-73.97864
F,Manhattan,02/02/2016,04/05/2017,40.732509,-73.98935
M,Manhattan,02/22/2016,02/22/2019,40.802395,-73.93359
F,Manhattan,02/26/2016,03/17/2017,40.732509,-73.98935
M,Manhattan,04/07/2016,03/03/2017,40.741012,-74.00012
F,Manhattan,04/09/2016,04/09/2017,40.826201,-73.94879
F,Manhattan,04/26/2016,05/04/2017,40.798502,-73.96811
F,Staten Island,05/11/2016,05/27/2017,40.599021,-74.07503
F,Manhattan,05/12/2016,04/01/2017,40.802395,-73.93359
F,Manhattan,05/12/2016,05/30/2017,40.76842,-73.96045
F,Manhattan,07/11/2016,06/07/2017,40.714754,-74.00721
M,Manhattan,07/12/2016,08/04/2017,40.727093,-73.97864
M,Staten Island,07/19/2016,07/19/2018,40.629448,-74.16239
M,Bronx,07/20/2016,07/20/2018,40.805968,-73.91628
M,Manhattan,07/27/2016,06/05/2017,40.74618,-73.97759
F,Manhattan,08/24/2016,10/17/2017,40.798502,-73.96811
F,Manhattan,09/02/2016,09/30/2017,40.786387,-73.97709
F,Manhattan,09/19/2016,11/19/2018,40.840686,-73.94154
F,Manhattan,10/25/2016,10/27/2017,40.776099,-73.98285
M,Manhattan,11/08/2016,10/21/2017,40.798502,-73.96811
M,Manhattan,12/21/2016,12/21/2017,40.848764,-73.93496
F,Manhattan,09/12/2014,09/12/2017,40.720666,-74.00526
F,Manhattan,09/12/2014,10/01/2019,40.720666,-74.00526
M,Manhattan,09/12/2014,10/30/2019,40.720666,-74.00526
F,Manhattan,09/12/2014,09/12/2017,40.802395,-73.93359
M,Manhattan,09/12/2014,10/20/2017,40.798502,-73.96811
M,Manhattan,09/12/2014,09/12/2019,40.720666,-74.00526
F,Manhattan,09/12/2014,10/09/2017,40.776777,-73.9541
F,Manhattan,09/13/2014,09/13/2019,40.71704,-73.987
M,Staten Island,09/13/2014,10/05/2019,40.543117,-74.17628
F,Manhattan,09/13/2014,10/26/2017,40.732509,-73.98935
F,Manhattan,09/13/2014,10/03/2019,40.759015,-73.96732
M,Manhattan,09/13/2014,10/30/2017,40.741012,-74.00012
M,Manhattan,09/13/2014,10/16/2019,40.798502,-73.96811
F,Manhattan,09/13/2014,09/29/2017,40.741012,-74.00012
M,Manhattan,09/13/2014,09/13/2019,40.798502,-73.96811
F,Staten Island,09/13/2014,10/23/2019,40.551353,-74.15098
F,Manhattan,09/13/2014,09/13/2017,40.798502,-73.96811
F,Manhattan,09/13/2014,09/13/2019,40.759015,-73.96732
F,Manhattan,09/13/2014,09/13/2017,40.798502,-73.96811
M,Manhattan,09/14/2014,09/14/2019,40.776099,-73.98285
M,Manhattan,09/14/2014,10/10/2017,40.76842,-73.96045
F,Manhattan,09/14/2014,07/30/2017,40.776099,-73.98285
M,Manhattan,09/14/2014,09/14/2017,40.71704,-73.987
F,Manhattan,09/14/2014,10/01/2017,40.776777,-73.9541
F,Manhattan,09/15/2014,09/15/2017,40.776099,-73.98285
M,Bronx,09/15/2014,10/09/2017,40.819729,-73.9223
M,Manhattan,09/15/2014,10/14/2017,40.76842,-73.96045
F,Manhattan,09/15/2014,10/28/2017,40.759015,-73.96732
M,Manhattan,09/15/2014,09/03/2017,40.786387,-73.97709
F,Manhattan,09/15/2014,10/05/2017,40.709677,-74.00365
F,Staten Island,09/15/2014,10/22/2017,40.529749,-74.21304
F,Manhattan,09/15/2014,10/14/2017,40.791586,-73.94575
M,Manhattan,09/15/2014,02/23/2017,40.709677,-74.00365
M,Manhattan,09/15/2014,09/16/2017,40.72596,-73.99834
F,Manhattan,09/15/2014,10/30/2017,40.791586,-73.94575
M,Manhattan,09/15/2014,10/04/2019,40.72596,-73.99834
M,Manhattan,09/15/2014,10/24/2017,40.791586,-73.94575
M,Manhattan,09/15/2014,09/24/2019,40.867653,-73.92
F,Manhattan,09/16/2014,10/11/2017,40.786387,-73.97709
F,Manhattan,09/16/2014,10/26/2017,40.826201,-73.94879
F,Manhattan,09/16/2014,10/18/2017,40.741012,-74.00012
M,Manhattan,09/16/2014,10/31/2019,40.707467,-74.0178
F,Manhattan,09/16/2014,10/15/2017,40.741012,-74.00012
M,Staten Island,09/16/2014,07/30/2017,40.551353,-74.15098
M,Manhattan,09/16/2014,09/16/2017,40.741012,-74.00012
M,Manhattan,09/16/2014,09/16/2016,40.798502,-73.96811
F,Manhattan,09/16/2014,09/16/2016,40.74618,-73.97759
M,Manhattan,09/16/2014,09/16/2016,40.802395,-73.93359
F,Manhattan,09/16/2014,09/16/2017,40.74618,-73.97759
M,Staten Island,09/16/2014,09/16/2019,40.529749,-74.21304
M,Staten Island,09/16/2014,09/16/2016,40.543117,-74.17628
F,Manhattan,09/16/2014,10/31/2017,40.776099,-73.98285
M,Manhattan,09/16/2014,10/15/2019,40.759015,-73.96732
M,Manhattan,09/17/2014,09/17/2016,40.732509,-73.98935
M,Manhattan,09/17/2014,10/31/2016,40.750742,-73.99653
M,Manhattan,09/17/2014,10/31/2016,40.741012,-74.00012
M,Manhattan,09/17/2014,09/16/2019,40.781894,-73.95039
F,Manhattan,09/17/2014,09/17/2019,40.720666,-74.00526
M,Manhattan,09/17/2014,10/30/2016,40.798502,-73.96811
M,Manhattan,09/18/2014,06/25/2017,40.759511,-73.99019
F,Manhattan,09/18/2014,09/18/2019,40.786387,-73.97709
M,Manhattan,09/18/2014,10/31/2016,40.781894,-73.95039
F,Manhattan,09/18/2014,09/18/2017,40.765714,-73.9856
M,Manhattan,09/18/2014,09/18/2019,40.759511,-73.99019
M,Bronx,09/18/2014,09/06/2019,40.805968,-73.91628
F,Manhattan,09/18/2014,08/21/2017,40.776099,-73.98285
M,Manhattan,09/18/2014,09/18/2016,40.781894,-73.95039
M,Manhattan,09/19/2014,09/23/2016,40.76842,-73.96045
F,Manhattan,09/20/2014,09/20/2016,40.812665,-73.95499
F,Manhattan,09/20/2014,09/20/2019,40.720666,-74.00526
F,Staten Island,09/20/2014,09/20/2019,40.631775,-74.09432
F,Manhattan,09/20/2014,09/20/2019,40.776099,-73.98285
M,Manhattan,09/21/2014,10/02/2019,40.752159,-73.97231
M,Manhattan,09/21/2014,09/22/2016,40.765714,-73.9856
F,Manhattan,09/21/2014,09/21/2019,40.776099,-73.98285
F,Manhattan,09/21/2014,09/30/2016,40.776099,-73.98285
F,Manhattan,09/21/2014,09/21/2019,40.765714,-73.9856
F,Staten Island,09/22/2014,09/04/2019,40.606337,-74.14513
F,Manhattan,09/22/2014,09/22/2019,40.732509,-73.98935
F,Manhattan,09/22/2014,09/22/2017,40.709677,-74.00365
F,Manhattan,09/22/2014,09/22/2019,40.781894,-73.95039
F,Manhattan,09/23/2014,09/23/2016,40.741012,-74.00012
M,Staten Island,09/23/2014,09/23/2019,40.529749,-74.21304
M,Manhattan,09/23/2014,07/18/2017,40.776099,-73.98285
F,Manhattan,09/23/2014,09/23/2017,40.72596,-73.99834
M,Staten Island,09/23/2014,10/16/2016,40.63212,-74.11551
M,Manhattan,09/23/2014,08/16/2016,40.741012,-74.00012
F,Staten Island,09/23/2014,03/25/2016,40.569394,-74.11785
M,Manhattan,09/24/2014,07/31/2018,40.76842,-73.96045
M,Manhattan,09/24/2014,09/24/2016,40.750742,-73.99653
M,Manhattan,09/24/2014,09/24/2019,40.734718,-74.00532
