"","UniqueID","DateOfBite","Breed","Age","Gender","SpayNeuter","Borough","ZipCode"
"1",1,2015-01-02,"POODLE",3,"M",TRUE,"Brooklyn",11238
"2",2,2015-01-02,"HUSKY",NA,"U",FALSE,"Brooklyn",11249
"3",3,2015-01-01,"AMERICAN PIT BULL",6,"M",FALSE,"Brooklyn",11221
"4",4,2015-01-03,"AMERICAN PIT BULL",1,"M",FALSE,"Brooklyn",11207
"5",5,2015-01-05,"AMERICAN PIT BULL",1,"F",FALSE,"Brooklyn",11209
"6",6,2015-01-04,"MORKIE",1,"M",FALSE,"Brooklyn",11220
"7",7,2015-01-05,"CHIHUAHUA",1,"M",FALSE,"Brooklyn",11237
"8",8,2015-01-04,"PIT BULL",NA,"M",FALSE,"Brooklyn",11215
"9",9,2015-01-04,"OTHER",NA,"U",FALSE,"Brooklyn",11221
"10",10,2015-01-02,"COCKER SPANIEL",NA,"U",FALSE,"Brooklyn",11220
"11",11,2015-01-05,"SHIH TZU",4,"F",FALSE,"Brooklyn",11205
"12",12,2015-01-01,"AMERICAN PIT BULL",NA,"U",FALSE,"Brooklyn",11220
"13",13,2015-01-05,"SHIH TZU",3,"M",TRUE,"Brooklyn",11224
"14",14,2015-01-09,"PIT BULL",2,"M",TRUE,"Brooklyn",11213
"15",15,2015-01-10,"YORKSHIRE TERRIER",1,"F",FALSE,"Brooklyn",11237
"16",16,2015-01-13,"DACHSHUND",12,"M",TRUE,"Brooklyn",11217
"17",17,2015-01-12,"AMERICAN PIT BULL",NA,"U",FALSE,"Brooklyn",11208
"18",18,2015-01-16,"AMERICAN PIT BULL",2,"M",FALSE,"Brooklyn",11235
"19",19,2015-01-12,"SHIH TZU",2,"M",FALSE,"Brooklyn",11207
"20",20,2015-01-17,"CHIHUAHUA",0.6,"M",FALSE,"Brooklyn",11213
"21",21,2015-01-21,"YORKSHIRE TERRIER",0.7,"M",FALSE,"Brooklyn",11206
"22",22,2015-01-22,"LABRADOR",5,"M",TRUE,"Brooklyn",11229
"23",23,2015-01-24,"JINDO",NA,"U",FALSE,"Brooklyn",11226
"24",24,2015-01-27,"JACK RUSS",11,"M",FALSE,"Brooklyn",11217
"25",25,2015-01-25,"CHOW CHOW",NA,"U",FALSE,"Brooklyn",11209
"26",26,2015-01-25,"CHIHUAHUA",1,"F",FALSE,"Brooklyn",11213
"27",27,2015-01-20,"PIT BULL",NA,"U",FALSE,"Brooklyn",11236
"28",28,2015-01-31,"GERMAN SHEPHERD",NA,"F",FALSE,"Brooklyn",11220
"29",29,2015-01-23,"GERMAN SHEPHERD",4,"M",FALSE,"Brooklyn",11229
"30",30,2015-02-04,"POMERANIAN",1,"F",FALSE,"Brooklyn",11216
"31",31,2015-02-05,"DASCHOUND",10,"M",TRUE,"Brooklyn",11214
"32",32,2015-02-01,"ROTTWEILER",NA,"U",FALSE,"Brooklyn",11204
"33",33,2015-02-04,"ROTTWEILER",NA,"U",FALSE,"Brooklyn",11220
"34",34,2015-02-06,"SHIBA INU",3,"M",FALSE,"Brooklyn",11252
"35",35,2015-02-07,"MALTESE",NA,"U",FALSE,"Brooklyn",11215
"36",36,2015-02-07,"PIT BULL",5,"M",TRUE,"Brooklyn",11214
"37",37,2015-01-27,"OTHER",NA,"U",FALSE,"Brooklyn",11205
"38",38,2015-01-27,"POODLE",NA,"U",FALSE,"Brooklyn",11214
"39",39,2015-02-10,"WELSH",NA,"U",FALSE,"Brooklyn",11204
"40",40,2015-02-07,"SHIBA INU",NA,"M",FALSE,"Brooklyn",11206
"41",41,2015-02-07,"RAT TERRIER",5,"M",TRUE,"Brooklyn",11208
"42",42,2015-01-27,"AMERICAN PIT BULL",2,"M",FALSE,"Brooklyn",11228
"43",43,2015-02-11,"STAFFORDSHIRE TERR",4,"M",FALSE,"Brooklyn",11235
"44",44,2015-02-11,"RAT TERRIER",13,"F",TRUE,"Brooklyn",11209
"45",45,2015-02-09,"AMERICAN PIT BULL",10,"F",TRUE,"Brooklyn",11232
"46",46,2015-02-12,"GERMAN SHEPHERD",4,"M",FALSE,"Brooklyn",11229
"47",47,2015-02-12,"PIT BULL",NA,"U",FALSE,"Brooklyn",11237
"48",48,2015-02-14,"AKITA",NA,"M",FALSE,"Brooklyn",11237
"49",49,2015-02-14,"OTHER",NA,"U",FALSE,"Brooklyn",11205
"50",50,2015-02-15,"BULL DOG",NA,"M",FALSE,"Brooklyn",11234
"51",51,2015-02-15,"PIT BULL",NA,"U",FALSE,"Brooklyn",11234
"52",52,2015-02-13,"AMERICAN PIT BULL",4,"M",TRUE,"Brooklyn",11221
"53",53,2015-02-17,"CHIHUAHUA",NA,"U",FALSE,"Brooklyn",11218
"54",54,2015-02-15,"AMERICAN PIT BULL",1,"M",FALSE,"Brooklyn",11207
"55",55,2015-02-12,"MASTIFF",NA,"U",FALSE,"Brooklyn",11231
"56",56,2015-02-18,"YORKSHIRE TERRIER",3,"M",FALSE,"Brooklyn",11233
"57",57,2015-02-17,"AMERICAN PIT BULL",5,"M",FALSE,"Brooklyn",11207
"58",58,2015-02-19,"SPRINGER SPANIEL",7,"U",TRUE,"Brooklyn",11213
"59",59,2015-02-21,"PIT BULL",NA,"U",FALSE,"Brooklyn",11217
"60",60,2015-02-12,"PIT BULL",NA,"U",FALSE,"Brooklyn",11224
"61",61,2015-02-22,"PIT BULL",10,"M",TRUE,"Brooklyn",11235
"62",62,2015-02-24,"PIT BULL",1,"F",FALSE,"Brooklyn",11215
"63",63,2015-02-24,"PIT BULL",10,"F",TRUE,"Brooklyn",11210
"64",64,2015-02-24,"WESTIE",NA,"U",FALSE,"Brooklyn",11234
"65",65,2015-02-21,"PIT BULL",NA,"U",FALSE,"Brooklyn",11231
"66",66,2015-02-26,"PIT BULL",NA,"U",FALSE,"Brooklyn",11206
